RTS
 ID    DOOMNAME      DESCRIPTION
-----  ------------- ---------------------------------------------------------
  1    pistol        Pistol Shot
  2    shotgn        Shotgun
  3    sgcock        Shotgun Reload
  4    dshtgn        Super Shotgun
  5    dbopn         Super Shotgun
  6    dbcls         Super Shotgun
  7    dbload        Super Shotgun
  8    plasma        Plasma Rifle Fire
  9    bfg           BFG Fire
 10    sawup         Chainsaw
 11    sawidl        Chainsaw Idling
 12    sawful        Chainsaw
 13    sawhit        Chainsaw Make contact
 14    rlaunc        Rocket Launcher Fire
 15    rxplod        Rocket Launcher Explode
 16    firsht        Fireball Passing
 17    firxpl        Fireball hitting
 18    pstart        Platform Start
 19    pstop         Platform Stop
 20    doropn        Door Open
 21    dorcls        Door Close
 22    stnmov        Ceiling Moving
 23    swtchn        Switch On
 24    swtchx        Switch Off
 25    plpain        Hurt Sound (Player)
 26    dmpain        Hurt Sound (Demon)
 27    popain        Hurt Sound (Possessed Human)
 28    vipain        Hurt Sound (Archvile)
 29    mnpain        Hurt Sound (Mancubus)
 30    pepain        Hurt Sound (Pain Elemental)
 31    slop          Splatter Sound
 32    itemup        Picking up item sound
 33    wpnup         Weapon Select
 34    oof           Landing on floor, etc.
 35    telept        Teleport Sound
 36    posit1        Monster Sight Sound (Possessed Human)
 37    posit2        Monster Sight Sound (Possessed Human)
 38    posit3        Monster Sight Sound (Possessed Human)
 39    bgsit1        Monster Sight Sound (Imp)
 40    bgsit2        Monster Sight Sound (Imp)
 41    sgtsit        Monster Sight Sound (Demon)
 42    cacsit        Monster Sight Sound (Cacodemon)
 43    brssit        Monster Sight Sound (Baron)
 44    cybsit        Monster Sight Sound (Cyberdemon)
 45    spisit        Monster Sight Sound (Spider Demon)
 46    bspsit        Monster Sight Sound (Arachnotron)
 47    kntsit        Monster Sight Sound (Hell Knight)
 48    vilsit        Monster Sight Sound (Arch-Vile)
 49    mansit        Monster Sight Sound (Mancubus)
 50    pesit         Monster Sight Sound (Pain Elemental)
 51    sklatk        Monster Attack Sound (Lost Soul Charging)
 52    sgtatk        Monster Attack Sound (Demon)
 53    skepch        Monster Attack Sound (Revenant Punch)
 54    vilatk        Monster Attack Sound (Arch-Vile Attack)
 55    claw          Close Combat Attack (Imp, Hell Knight & Baron)
 56    skeswg        Revenant Swoop Before Punch Attack
 57    pldeth        Player Death Sound
 58    pdiehi        Player Death Sound (Higher pitch)
 59    podth1        Monster Death Sound (Possessed Human)
 60    podth2        Monster Death Sound (Possessed Human)
 61    podth3        Monster Death Sound (Possessed Human)
 62    bgdth1        Monster Death Sound (Imp)
 63    bgdth2        Monster Death Sound (Imp)
 64    sgtdth        Monster Death Sound (Demon)
 65    cacdth        Monster Death Sound (Cacodemon)
 66    skldth        Monster Death Sound (Revenant)
 67    brsdth        Monster Death Sound (Baron)
 68    cybdth        Monster Death Sound (CyberDemon)
 69    spidth        Monster Death Sound (SpiderDemon)
 70    bspdth        Monster Death Sound (Arachnotron)
 71    vildth        Monster Death Sound (Arch-Vile)
 72    kntdth        Monster Death Sound (Hell Knight)
 73    pedth         Monster Death Sound (Pain Elemental)
 74    skedth        Monster Death Sound (Revenant)
 75    posact        Monster Active      (Possessed Human)
 76    bgact         Monster Active      (Imp)
 77    dmact         Monster Active      (Demon)
 78    bspact        Monster Active      (Arachntron active)
 79    bspwlk        Monster Active      (Arachntron moving)
 80    vilact        Monster Active      (Arch-Vile)
 81    noway         Use against wall, or Door with no key.
 82    barexp        Barrel Explosion
 83    punch         Player Punch Sound 
 84    hoof          Cyberdemon Hoof
 85    metal         Spiderdemon Movement 
 86    chgun         ?
 87    tink          Tink Sound 
 88    bdopn         Door Open 
 89    bdcls         Door Close
 90    itmbk         Item Respawn
 91    flame         Flame sound
 92    flamst        Flame Stop 
 93    getpow        Get Powerup
 94    bospit        EndBoss Fire
 95    boscub        EndBoss Cube
 96    bossit        EndBoss Aware
 97    bospn         EndBoss Pain
 98    bosdth        EndBoss Death
 99    manatk        Mancubus Attack 
100    mandth        Mancubus Death
101    sssit         Wolfenstein SS Awakened
102    ssdth         Wolfenstein SS Death
103    keenpn        Keen Sound
104    keendt        Keen Sound
105    skeact        Revenant Active
106    skesit        Revenant Awakened
107    skeatk        Revenant Missile Attack
108    radio         Radio Sound (Netgame Message Broadcast)


DOCUMENT END
